Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2017]=9.844564909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2018]=10.04359309
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2019]=10.11342518
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2020]=9.985783909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2021]=10.07258272
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2022]=10.15938153
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2023]=10.24618034
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2024]=10.33297915
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2025]=10.41977795
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2026]=10.50657676
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2027]=10.59337557
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2028]=10.68017438
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2029]=10.76697319
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2030]=10.853772
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2031]=10.89513856
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2032]=10.93650513
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2033]=10.97787169
